load_info,origin,destination,equipment_type,carrier_legal_name,carrier_mc_number,carrier_mc_number_validity,price_diff,duration,sentiment,outcome,recorded_at
"Load from New York to Los Angeles, Flatbed, 5000 lbs",New York,Los Angeles,Flatbed,ABC Trucking Inc,MC123456,true,150,45,positive,"Booked with negotiations",2026-03-08T09:15:00
"Load from Chicago to Miami, Van, 2500 lbs",Chicago,Miami,Van,Premier Transport LLC,MC789012,true,-50,30,neutral,"Booked without negotiations",2026-03-09T10:30:00
"Load from Seattle to Denver, Reefer, 3500 lbs",Seattle,Denver,Reefer,Cold Chain Logistics,MC345678,false,200,60,positive,"Booked with negotiations",2026-03-09T11:45:00
"Load from Boston to Atlanta, Flatbed, 6000 lbs",Boston,Atlanta,Flatbed,Heavy Haul Services,MC901234,true,-100,90,negative,"Not booked with negotiations",2026-03-10T14:20:00
"Load from Portland to Phoenix, Tanker, 4200 lbs",Portland,Phoenix,Tanker,Liquid Logistics Corp,MC567890,true,175,55,positive,"Booked with negotiations",2026-03-10T13:50:00
"Load from Philadelphia to Houston, Flatbed, 7500 lbs",Philadelphia,Houston,Flatbed,Eastern Freight Partners,MC234567,true,125,72,positive,"Booked without negotiations",2026-03-05T15:30:00
"Load from Dallas to Memphis, Van, 3100 lbs",Dallas,Memphis,Van,Southern Express Inc,MC112233,true,80,42,positive,"Booked with negotiations",2026-03-06T09:00:00
"Load from San Francisco to Las Vegas, Reefer, 2800 lbs",San Francisco,Las Vegas,Reefer,Pacific Cold Carriers,MC445566,true,-30,65,neutral,"Not booked without negotiations",2026-03-07T11:15:00
"Load from Minneapolis to Detroit, Flatbed, 5200 lbs",Minneapolis,Detroit,Flatbed,Great Lakes Hauling,MC778899,false,95,38,positive,"Booked without negotiations",2026-03-11T08:45:00
"Load from Nashville to Charlotte, Van, 1900 lbs",Nashville,Charlotte,Van,Dixie Transport Group,MC334455,true,-75,85,negative,"Not booked with negotiations",2026-03-12T16:20:00
